metric,family,lane,bit,control_bit,scope,fail_count,fail_min_ps,fail_median_ps,fail_max_ps,pass_count,pass_min_ps,pass_median_ps,pass_max_ps,robust_count,robust_min_ps,robust_median_ps,robust_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,robust_minus_fail_median_ps
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,4,endpoint,1,1819.0,1819.0,1819.0,2,1078.0,1305.0,1532.0,0,,,,514.0,287.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,4,endpoint,1,2141.0,2141.0,2141.0,2,1282.0,1674.0,2066.0,0,,,,467.0,75.0,
direct_max,clocking,all,,,endpoint,1,6974.0,6974.0,6974.0,2,6105.0,6509.5,6914.0,0,,,,464.5,60.0,
lane_spread,clocking,all,,,lane,1,6855.0,6855.0,6855.0,2,5986.0,6390.5,6795.0,0,,,,464.5,60.0,
direct_max,idelay_dqs_cntvaluein,lane0,dqs0,2,endpoint,1,2332.0,2332.0,2332.0,2,1718.0,1897.0,2076.0,0,,,,435.0,256.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,3,endpoint,1,1743.0,1743.0,1743.0,2,1274.0,1335.0,1396.0,0,,,,408.0,347.0,
direct_max,reset_release,all,,,endpoint,1,990.0,990.0,990.0,2,584.0,584.0,584.0,0,,,,406.0,406.0,
lane_spread,reset_release,all,,,lane,1,990.0,990.0,990.0,2,584.0,584.0,584.0,0,,,,406.0,406.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,3,endpoint,1,1652.0,1652.0,1652.0,2,1194.0,1254.5,1315.0,0,,,,397.5,337.0,
direct_max,idelay_ld,lane0,dqs0,,endpoint,1,2055.0,2055.0,2055.0,2,1370.0,1708.0,2046.0,0,,,,347.0,9.0,
direct_max,dq_iologic,lane0,dq5,,endpoint,1,2394.0,2394.0,2394.0,2,1985.0,2102.5,2220.0,0,,,,291.5,174.0,
direct_max,dq_iologic,lane0,dq2,,endpoint,1,2365.0,2365.0,2365.0,2,2069.0,2075.5,2082.0,0,,,,289.5,283.0,
direct_max,idelay_data_cntvaluein,lane1,dq8,4,endpoint,1,1674.0,1674.0,1674.0,2,1264.0,1403.0,1542.0,0,,,,271.0,132.0,
direct_max,idelay_ld,lane0,dq6,,endpoint,1,1963.0,1963.0,1963.0,2,1371.0,1695.0,2019.0,0,,,,268.0,-56.0,
direct_max,idelay_ld,lane0,dq7,,endpoint,1,1871.0,1871.0,1871.0,2,1360.0,1621.5,1883.0,0,,,,249.5,-12.0,
direct_max,idelay_data_cntvaluein,lane0,dq5,3,endpoint,1,1942.0,1942.0,1942.0,2,1547.0,1698.5,1850.0,0,,,,243.5,92.0,
control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,1,449.0,449.0,449.0,2,145.0,228.0,311.0,0,,,,221.0,138.0,
direct_max,idelay_ld,lane0,dq4,,endpoint,1,1868.0,1868.0,1868.0,2,1330.0,1652.5,1975.0,0,,,,215.5,-107.0,
direct_max,idelay_data_cntvaluein,lane1,dq9,4,endpoint,1,1682.0,1682.0,1682.0,2,1437.0,1467.5,1498.0,0,,,,214.5,184.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,1,602.0,602.0,602.0,2,361.0,405.0,449.0,0,,,,197.0,153.0,
lane_spread,idelay_ld,lane1,,,lane,1,458.0,458.0,458.0,2,217.0,261.5,306.0,0,,,,196.5,152.0,
direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,1,1603.0,1603.0,1603.0,2,1348.0,1409.0,1470.0,0,,,,194.0,133.0,
direct_max,idelay_ld,lane0,dq1,,endpoint,1,1909.0,1909.0,1909.0,2,1190.0,1717.0,2244.0,0,,,,192.0,-335.0,
direct_max,idelay_data_cntvaluein,lane0,dq3,3,endpoint,1,1850.0,1850.0,1850.0,2,1552.0,1658.0,1764.0,0,,,,192.0,86.0,
direct_max,idelay_data_cntvaluein,lane1,dq13,3,endpoint,1,1608.0,1608.0,1608.0,2,1310.0,1422.0,1534.0,0,,,,186.0,74.0,
direct_max,dq_iologic,lane0,dq1,,endpoint,1,2342.0,2342.0,2342.0,2,2130.0,2160.0,2190.0,0,,,,182.0,152.0,
cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq1,,dq1,1,595.0,595.0,595.0,2,273.0,420.5,568.0,0,,,,174.5,27.0,
direct_max,idelay_dqs_cntvaluein,lane1,dqs1,0,endpoint,1,1411.0,1411.0,1411.0,2,1213.0,1239.5,1266.0,0,,,,171.5,145.0,
